,ia,ianum,lang,sentnum,trialid,prob_skip,firstrun.dur,dur,firstrun.nfix,nfix,prob_refix,prob_reread,trial_sentnum
1430,even,102,en,283,2,0.42857142857142855,119.07142857142857,164.0,0.5714285714285714,0.7857142857142857,0.0,0.21428571428571427,5
1431,praise,103,en,283,2,0.5714285714285714,72.92857142857143,75.0,0.42857142857142855,0.5,0.0,0.07142857142857142,5
1432,from,104,en,283,2,0.21428571428571427,201.92857142857142,216.57142857142858,0.8571428571428571,0.9285714285714286,0.07142857142857142,0.07142857142857142,5
1433,one,105,en,283,2,0.42857142857142855,119.78571428571429,127.78571428571429,0.6428571428571429,0.7142857142857143,0.07142857142857142,0.07142857142857142,5
1434,individual,106,en,283,2,0.14285714285714285,201.28571428571428,322.14285714285717,1.0714285714285714,1.7142857142857142,0.2857142857142857,0.42857142857142855,5
1435,to,107,en,283,2,0.35714285714285715,141.78571428571428,224.28571428571428,0.7142857142857143,0.9285714285714286,0.07142857142857142,0.21428571428571427,5
1436,another.,108,en,283,2,0.21428571428571427,169.42857142857142,199.64285714285714,0.8571428571428571,1.0714285714285714,0.07142857142857142,0.21428571428571427,5
1437,Residents,109,en,283,2,0.0,374.96,469.12,1.64,2.08,0.6,0.28,5
1438,of,110,en,283,2,0.44,106.28,113.76,0.56,0.6,0.0,0.04,5
1439,Hawaii,111,en,283,2,0.36,149.52,162.76,0.76,0.84,0.12,0.08,5
1440,use,112,en,283,2,0.48,123.64,123.64,0.52,0.52,0.0,0.0,5
1441,the,113,en,283,2,0.24,163.36,177.76,0.84,0.92,0.08,0.08,5
1442,shaka,114,en,283,2,0.08,152.32,232.88,1.0,1.36,0.08,0.32,5
1443,to,115,en,283,2,0.52,74.6,93.96,0.48,0.6,0.0,0.12,5
1444,convey,116,en,283,2,0.04,251.68,353.12,1.2,1.68,0.28,0.32,5
1445,the,117,en,283,2,0.64,74.48,93.36,0.36,0.48,0.0,0.08,5
1446,"""Aloha",118,en,283,2,0.0,356.36,440.4,1.56,2.0,0.36,0.2,5
1447,"Spirit"":",119,en,283,2,0.04,219.12,373.56,1.16,1.92,0.28,0.36,5
1448,a,120,en,283,2,0.88,17.24,17.24,0.12,0.12,0.0,0.0,5
1449,concept,121,en,283,2,0.0,355.28,491.16,1.56,2.12,0.4,0.4,5
1450,of,122,en,283,2,0.72,58.88,58.88,0.28,0.28,0.0,0.0,5
1451,"friendship,",123,en,283,2,0.04,228.0,329.4,1.16,1.64,0.24,0.24,5
1452,"understanding,",124,en,283,2,0.04,312.08,318.6,1.36,1.4,0.4,0.04,5
1453,"compassion,",125,en,283,2,0.04,302.8,428.52,1.2,1.76,0.32,0.16,5
1454,and,126,en,283,2,0.88,20.88,20.88,0.12,0.12,0.0,0.0,5
1455,solidarity,127,en,283,2,0.04,320.16,336.88,1.36,1.44,0.36,0.08,5
1456,among,128,en,283,2,0.28,186.92,200.48,0.72,0.8,0.0,0.08,5
1457,the,129,en,283,2,0.44,87.96,109.32,0.56,0.64,0.0,0.08,5
1458,various,130,en,283,2,0.12,183.96,287.08,1.0,1.52,0.12,0.32,5
1459,ethnic,131,en,283,2,0.16,225.4,256.04,1.0,1.12,0.16,0.12,5
1460,cultures,132,en,283,2,0.08,213.72,272.08,0.96,1.28,0.08,0.2,5
1461,that,133,en,283,2,0.68,59.92,68.52,0.32,0.36,0.0,0.04,5
1462,reside,134,en,283,2,0.16,223.56,282.76,1.08,1.48,0.2,0.24,5
1463,in,135,en,283,2,0.52,96.24,104.64,0.52,0.56,0.04,0.04,5
1464,Hawaii.,136,en,283,2,0.16,170.36,229.16,0.92,1.2,0.08,0.2,5
1465,Nach,99,ge,284,2,0.2972972972972973,162.21621621621622,200.43243243243242,0.7297297297297297,0.9459459459459459,0.02702702702702703,0.1891891891891892,5
1466,Recherche,100,ge,284,2,0.0,339.1621621621622,427.8918918918919,1.6216216216216217,2.189189189189189,0.5135135135135135,0.35135135135135137,5
1467,einer,101,ge,284,2,0.05405405405405406,242.0,292.64864864864865,1.1081081081081081,1.4054054054054055,0.16216216216216217,0.21621621621621623,5
1468,Zeitung,102,ge,284,2,0.1891891891891892,164.2972972972973,207.2972972972973,0.8918918918918919,1.135135135135135,0.10810810810810811,0.21621621621621623,5
1469,geht,103,ge,284,2,0.10810810810810811,244.35135135135135,267.3783783783784,1.054054054054054,1.162162162162162,0.16216216216216217,0.10810810810810811,5
1470,das,104,ge,284,2,0.3783783783783784,119.35135135135135,162.05405405405406,0.6486486486486487,0.8108108108108109,0.02702702702702703,0.16216216216216217,5
1471,Handzeichen,105,ge,284,2,0.02702702702702703,185.94594594594594,380.8918918918919,1.1891891891891893,2.2162162162162162,0.40540540540540543,0.6486486486486487,5
1472,auf,106,ge,284,2,0.3783783783783784,136.64864864864865,153.59459459459458,0.7027027027027027,0.7837837837837838,0.08108108108108109,0.08108108108108109,5
1473,einen,107,ge,284,2,0.32432432432432434,145.32432432432432,190.35135135135135,0.7027027027027027,0.9459459459459459,0.02702702702702703,0.13513513513513514,5
1474,berühmten,108,ge,284,2,0.0,271.64864864864865,329.7837837837838,1.4054054054054055,1.7297297297297298,0.35135135135135137,0.21621621621621623,5
1475,Hawaiianer,109,ge,284,2,0.0,350.1621621621622,455.7027027027027,1.5405405405405406,2.027027027027027,0.5135135135135135,0.2702702702702703,5
1476,"zurück,",110,ge,284,2,0.08108108108108109,211.59459459459458,263.86486486486484,1.0,1.2972972972972974,0.13513513513513514,0.21621621621621623,5
1477,dem,111,ge,284,2,0.2972972972972973,174.16216216216216,220.43243243243242,0.7567567567567568,0.8648648648648649,0.05405405405405406,0.10810810810810811,5
1478,an,112,ge,284,2,0.21621621621621623,174.9189189189189,245.86486486486487,0.8378378378378378,1.135135135135135,0.05405405405405406,0.24324324324324326,5
1479,einer,113,ge,284,2,0.05405405405405406,307.8378378378378,508.18918918918916,1.2972972972972974,2.2162162162162162,0.40540540540540543,0.5675675675675675,5
1480,Hand,114,ge,284,2,0.32432432432432434,139.64864864864865,199.6216216216216,0.7567567567567568,1.054054054054054,0.08108108108108109,0.21621621621621623,5
1481,drei,115,ge,284,2,0.16216216216216217,201.48648648648648,264.4054054054054,0.918918918918919,1.1891891891891893,0.08108108108108109,0.24324324324324326,5
1482,Finger,116,ge,284,2,0.16216216216216217,160.45945945945945,200.9189189189189,0.918918918918919,1.135135135135135,0.05405405405405406,0.1891891891891892,5
1483,fehlten.,117,ge,284,2,0.0,291.35135135135135,365.56756756756755,1.2702702702702702,1.6216216216216217,0.2702702702702703,0.21621621621621623,5
1484,Dopo,117,it,285,2,0.15555555555555556,191.55555555555554,245.62222222222223,0.8666666666666667,1.1111111111111112,0.044444444444444446,0.2,5
1485,questo,118,it,285,2,0.1111111111111111,184.8,269.53333333333336,1.0444444444444445,1.4666666666666666,0.17777777777777778,0.28888888888888886,5
1486,grave,119,it,285,2,0.044444444444444446,229.35555555555555,310.8,1.1333333333333333,1.5777777777777777,0.15555555555555556,0.28888888888888886,5
1487,"incidente,",120,it,285,2,0.08888888888888889,269.4888888888889,428.44444444444446,1.2666666666666666,1.9555555555555555,0.24444444444444444,0.35555555555555557,5
1488,l’uomo,121,it,285,2,0.08888888888888889,196.11111111111111,298.68888888888887,0.9555555555555556,1.4222222222222223,0.08888888888888889,0.28888888888888886,5
1489,divenne,122,it,285,2,0.044444444444444446,185.48888888888888,290.15555555555557,1.2,1.7777777777777777,0.3111111111111111,0.28888888888888886,5
1490,responsabile,123,it,285,2,0.0,365.1111111111111,487.55555555555554,2.022222222222222,2.6222222222222222,0.8444444444444444,0.26666666666666666,5
1491,del,124,it,285,2,0.4444444444444444,102.82222222222222,150.7111111111111,0.5555555555555556,0.8444444444444444,0.022222222222222223,0.17777777777777778,5
1492,treno,125,it,285,2,0.0,259.15555555555557,373.4222222222222,1.0666666666666667,1.6444444444444444,0.08888888888888889,0.4444444444444444,5
1493,che,126,it,285,2,0.5333333333333333,99.11111111111111,122.6,0.4888888888888889,0.6222222222222222,0.022222222222222223,0.08888888888888889,5
1494,trasportava,127,it,285,2,0.0,356.68888888888887,560.0666666666667,1.511111111111111,2.5555555555555554,0.5111111111111111,0.6888888888888889,5
1495,lo,128,it,285,2,0.6888888888888889,64.37777777777778,69.02222222222223,0.3333333333333333,0.37777777777777777,0.022222222222222223,0.022222222222222223,5
1496,zucchero.,129,it,285,2,0.044444444444444446,259.1333333333333,383.8888888888889,1.2,1.7777777777777777,0.28888888888888886,0.3333333333333333,5
1497,В,72,ru,286,2,0.8571428571428571,21.257142857142856,21.257142857142856,0.14285714285714285,0.14285714285714285,0.0,0.0,5
1498,основном,73,ru,286,2,0.0,378.0,419.7142857142857,1.6857142857142857,1.9428571428571428,0.4,0.17142857142857143,5
1499,этот,74,ru,286,2,0.42857142857142855,113.31428571428572,125.14285714285714,0.6285714285714286,0.6857142857142857,0.05714285714285714,0.05714285714285714,5
1500,жест,75,ru,286,2,0.3142857142857143,146.4857142857143,165.5142857142857,0.8,0.9142857142857143,0.11428571428571428,0.11428571428571428,5
1501,используют,76,ru,286,2,0.02857142857142857,288.62857142857143,320.9142857142857,1.542857142857143,1.7428571428571429,0.5428571428571428,0.11428571428571428,5
1502,для,77,ru,286,2,0.42857142857142855,103.22857142857143,109.2,0.5714285714285714,0.6,0.0,0.02857142857142857,5
1503,"приветствия,",78,ru,286,2,0.02857142857142857,320.8,397.51428571428573,1.4285714285714286,1.8,0.4,0.2571428571428571,5
1504,но,79,ru,286,2,0.7714285714285715,59.65714285714286,59.65714285714286,0.22857142857142856,0.22857142857142856,0.0,0.0,5
1505,им,80,ru,286,2,0.34285714285714286,162.97142857142856,177.6,0.6857142857142857,0.7714285714285715,0.02857142857142857,0.08571428571428572,5
1506,также,81,ru,286,2,0.2,191.74285714285713,217.97142857142856,0.8285714285714286,1.0,0.05714285714285714,0.08571428571428572,5
1507,можно,82,ru,286,2,0.3142857142857143,129.71428571428572,154.74285714285713,0.7142857142857143,0.8285714285714286,0.02857142857142857,0.11428571428571428,5
1508,выразить,83,ru,286,2,0.08571428571428572,222.2,289.0285714285714,1.1142857142857143,1.457142857142857,0.2571428571428571,0.2571428571428571,5
1509,"благодарность,",84,ru,286,2,0.05714285714285714,299.4,380.8285714285714,1.3142857142857143,1.6857142857142857,0.37142857142857144,0.2571428571428571,5
1510,поддержку,85,ru,286,2,0.05714285714285714,324.7142857142857,372.8285714285714,1.3428571428571427,1.5714285714285714,0.37142857142857144,0.2,5
1511,или,86,ru,286,2,0.5428571428571428,93.65714285714286,99.45714285714286,0.5142857142857142,0.5428571428571428,0.02857142857142857,0.02857142857142857,5
1512,даже,87,ru,286,2,0.2571428571428571,175.57142857142858,186.85714285714286,0.9142857142857143,1.0,0.17142857142857143,0.08571428571428572,5
1513,похвалу.,88,ru,286,2,0.05714285714285714,326.4,374.14285714285717,1.457142857142857,1.6857142857142857,0.5428571428571428,0.14285714285714285,5
1514,Se,87,sp,287,2,0.2647058823529412,176.02941176470588,224.97058823529412,0.8235294117647058,1.1470588235294117,0.058823529411764705,0.23529411764705882,5
